"Source:","/home/aidar/Documents/ED/Practica2/DavidMiravent_AidarIglesias_Practica2_TecniquesBasiques/DavidMiravent_AidarIglesias_Practica2_ReguladorAlimentacio/DavidMiravent_AidarIglesias_Practica2_ReguladorAlimentacio.kicad_sch"
"Date:","mar 07 mar 2023 00:03:29"
"Tool:","Eeschema 6.0.11-2627ca5db0~126~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","11"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","100n","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C2","1u","Device:C_Polarized_Small_US","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C3","100n","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C4","1u","Device:C_Polarized_Small_US","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C5","100n","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","D1","1N4002","Diode:1N4002","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"","","D2","15V","Device:D_Zener","Diode_THT:D_5W_P5.08mm_Vertical_AnodeUp","~"
"","","J1","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","Connector_Wago:Wago_734-132_1x02_P3.50mm_Vertical","~"
"","","R1","2.2k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R2","1k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"","","U1","LM1117-ADJ","Regulator_Linear:LM1117-ADJ","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.ti.com/lit/ds/symlink/lm1117.pdf"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","3","C1, C3, C5","100n","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"2","2","C2, C4","1u","Device:C_Polarized_Small_US","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"3","1","D1","1N4002","Diode:1N4002","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"4","1","D2","15V","Device:D_Zener","Diode_THT:D_5W_P5.08mm_Vertical_AnodeUp","~"
"5","1","J1","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","Connector_Wago:Wago_734-132_1x02_P3.50mm_Vertical","~"
"6","1","R1","2.2k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"7","1","R2","1k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"8","1","U1","LM1117-ADJ","Regulator_Linear:LM1117-ADJ","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.ti.com/lit/ds/symlink/lm1117.pdf"
